Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,total_onboard,serious_fatal_fraction,Destroyed,Make_Model
20001214X42478,Incident,LAX83IA149A,1983-03-18,"LOS ANGELES, CA",United States,Incident,Minor,Airplane,Boeing,747,No,3+,Turbo Fan,Part 129: Foreign,Unknown,0.0,0.0,0.0,588.0,VMC,Taxi,588.0,0.0,0,Boeing 747
20001214X42331,Accident,ATL83FA140,1983-03-20,"CROSSVILLE, TN",United States,Fatal(1),Destroyed,Airplane,Piper,PA-28-140,No,1,Reciprocating,Part 91: General Aviation,Personal,1.0,1.0,0.0,0.0,IMC,Cruise,2.0,1.0,1,Piper PA-28-140
20001214X45013,Incident,CHI84IA041,1983-11-08,"CHICAGO, IL",United States,Incident,Minor,Airplane,Boeing,727-200,No,3+,Turbo Fan,Part 121: Air Carrier,Unknown,0.0,0.0,0.0,100.0,VMC,Taxi,100.0,0.0,0,Boeing 727-200
20001214X45188,Accident,NYC84LA028,1983-11-13,"MARTHA'S VINEYARD, MA",United States,Non-Fatal,Substantial,Airplane,Beech,C35,No,1,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,VMC,Other,1.0,0.0,0,Beech C35
20001214X45339,Accident,LAX84LA110,1983-12-22,"SANTA ROSA ISLAND, CA",United States,Non-Fatal,Substantial,Airplane,Cessna,180K,No,1,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,1.0,0.0,0,Cessna 180K
20001214X38957,Accident,ATL84LA120,1984-03-14,"MYRTLE BEACH, SC",United States,Non-Fatal,Substantial,Airplane,Beech,99,No,2,Turbo Prop,Part 135: Air Taxi & Commuter,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,1.0,0.0,0,Beech 99
20001214X40033,Accident,MIA84LA182,1984-06-11,"FT. LAUDERDALE, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-23-250,No,2,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,4.0,VMC,Approach,4.0,0.0,0,Piper PA-23-250
20001214X40407,Accident,MKC84FA197,1984-07-03,"WRIGHT, AR",United States,Fatal(1),Destroyed,Airplane,Piper,PA-18-150,No,1,Reciprocating,Part 137: Agricultural,Aerial Application,1.0,0.0,0.0,0.0,VMC,Maneuvering,1.0,1.0,1,Piper PA-18-150
20001214X41647,Accident,MKC85LA019,1984-11-09,"JUNCTION CITY, KS",United States,Non-Fatal,Substantial,Airplane,Cessna,R172E,No,1,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,VMC,Approach,1.0,0.0,0,Cessna R172E
20001214X41706,Accident,ATL85FA072,1984-12-30,"DUBLIN, VA",United States,Fatal(1),Destroyed,Airplane,Cessna,182A,No,1,Reciprocating,Part 91: General Aviation,Skydiving,1.0,0.0,0.0,0.0,VMC,Maneuvering,1.0,1.0,1,Cessna 182A
20001214X35509,Accident,DEN85LA064,1985-01-14,"WAPITI, WY",United States,Non-Fatal,Destroyed,Airplane,Cessna,182Q,No,1,Reciprocating,Part 91: General Aviation,Personal,0.0,1.0,1.0,0.0,VMC,Maneuvering,2.0,0.5,1,Cessna 182Q
20001214X36510,Accident,LAX85LA257,1985-05-13,"MESA, AZ",United States,Non-Fatal,Destroyed,Airplane,Cessna,T303,No,2,Reciprocating,Part 91: General Aviation,Positioning,0.0,1.0,0.0,0.0,VMC,Approach,1.0,1.0,1,Cessna T303
20001214X36887,Accident,NYC85FA145B,1985-06-11,"BELMAR, NJ",United States,Fatal(1),Destroyed,Airplane,Cessna,152,No,1,Reciprocating,Part 91: General Aviation,Instructional,1.0,1.0,4.0,0.0,VMC,Takeoff,6.0,0.3333333333333333,1,Cessna 152
20001214X37356,Incident,ATL85IA251,1985-08-16,"HILTON HEAD, SC",United States,Incident,Substantial,Airplane,Cessna,441,No,2,Turbo Prop,Part 91: General Aviation,Business,0.0,0.0,0.0,4.0,VMC,Landing,4.0,0.0,0,Cessna 441
20001214X37718,Accident,ATL85MA286,1985-09-29,"JENKINSBURG, GA",United States,Fatal(17),Destroyed,Airplane,Cessna,208,No,1,Turbo Prop,Part 91: General Aviation,Skydiving,17.0,0.0,0.0,0.0,VMC,Takeoff,17.0,1.0,1,Cessna 208
20001213X33306,Accident,LAX86LA166,1986-04-08,"MESA, AZ",United States,Non-Fatal,Substantial,Airplane,Piper,PA-23-250,No,2,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,2.0,VMC,Landing,2.0,0.0,0,Piper PA-23-250
20001213X33276,Accident,FTW86FA066B,1986-04-15,"HANKAMER, TX",United States,Fatal(2),Destroyed,Airplane,Grumman,G164A,No,1,Reciprocating,Part 137: Agricultural,Aerial Application,2.0,0.0,0.0,0.0,VMC,Other,2.0,1.0,1,Grumman G164A
20001213X33276,Accident,FTW86FA066A,1986-04-15,"HANKAMER, TX",United States,Fatal(2),Destroyed,Airplane,Grumman,G164A,No,1,Reciprocating,Part 137: Agricultural,Aerial Application,2.0,0.0,0.0,0.0,VMC,Other,2.0,1.0,1,Grumman G164A
20001213X33697,Accident,SEA86FA121B,1986-05-19,"MEAD, WA",United States,Fatal(2),Destroyed,Airplane,Cessna,TU206F,No,1,Reciprocating,Part 91: General Aviation,Skydiving,2.0,0.0,1.0,0.0,VMC,Other,3.0,0.6666666666666666,1,Cessna TU206F
20001213X33697,Accident,SEA86FA121A,1986-05-19,"MEAD, WA",United States,Fatal(2),Destroyed,Airplane,Cessna,152,No,1,Reciprocating,Part 91: General Aviation,Instructional,2.0,0.0,1.0,0.0,VMC,Maneuvering,3.0,0.6666666666666666,1,Cessna 152
20001213X30060,Accident,DCA87MA018B,1987-01-15,"KEARNS, UT",United States,Fatal(10),Destroyed,Airplane,Mooney,M-20C,No,1,Reciprocating,Part 91: General Aviation,Instructional,10.0,0.0,0.0,0.0,VMC,Maneuvering,10.0,1.0,1,Mooney M-20C
